Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,0,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,14554,1639280,3580909094204976,3580960532376760,3580960532380440,3580909103698542
1,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,1,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,11392,1310152,3580909103653873,3580960532394840,3580960532397400,3580909103965069
2,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,3,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4248088,475268040,3580909103777491,3580960532420920,3580960541125246,3580909112988650
3,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,5,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,12300,1343488,3580909112964280,3580960541178046,3580960541180926,3580909113128199
4,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,6,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,29676,3294408,3580909113218868,3580960541252766,3580960541256126,3580909113315037
5,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,8,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4151956,465811360,3580909113347826,3580960541293566,3580960549040451,3580909121341479
6,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,10,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19848,2193080,3580909121355139,3580960549140292,3580960549143652,3580909121580966
7,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,11,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,12122,1386312,3580909121590616,3580960549191972,3580960549195652,3580909121703695
8,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,13,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4239040,475946712,3580909121713355,3580960549244772,3580960556914217,3580909129572879
9,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,15,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19796,2179032,3580909129575389,3580960556971177,3580960556975017,3580909129758616
10,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,16,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19612,2215488,3580909129766096,3580960557058377,3580960557062697,3580909129925845
11,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,18,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4127758,463664056,3580909129959124,3580960557109737,3580960564774063,3580909137765889
12,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,20,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,21308,2398088,3580909137874018,3580960564878703,3580960564883183,3580909137977147
13,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,21,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,12168,1360048,3580909137984966,3580960564920463,3580960564924463,3580909138106655
14,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,23,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4247612,476682248,3580909138115075,3580960564969743,3580960573192469,3580909146580632
15,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,25,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19660,2226608,3580909146775440,3580960573302389,3580960573307029,3580909146875579
16,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,26,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19624,2213208,3580909146880259,3580960573345909,3580960573350069,3580909147074877
17,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,28,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4177174,468312456,3580909147108557,3580960573389749,3580960581589595,3580909155514505
18,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,30,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19830,2194040,3580909155656903,3580960581681435,3580960581686395,3580909155760992
19,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,31,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19664,2230496,3580909155765232,3580960581715195,3580960581719675,3580909155950460
20,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,33,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4177064,467385680,3580909155984599,3580960581752795,3580960590336001,3580909164731533
21,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,35,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,28850,3204160,3580909164913702,3580960590425601,3580960590430241,3580909165042820
22,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,36,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,23828,2683160,3580909165048690,3580960590468321,3580960590472961,3580909165356797
23,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,38,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4135958,462432032,3580909165409666,3580960590507983,3580960598047348,3580909173134812
24,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,40,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,18994,2148760,3580909173281680,3580960598171988,3580960598177268,3580909173365769
25,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,41,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,18960,2150192,3580909173370159,3580960598207988,3580960598212628,3580909173504248
26,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,43,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4149410,463862656,3580909173546537,3580960598236148,3580960605732473,3580909181178773
27,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,45,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19442,2167128,3580909181295152,3580960605835673,3580960605841273,3580909181380721
28,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,46,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,19808,2240976,3580909181404221,3580960605871513,3580960605877433,3580909181524180
29,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,48,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4146008,463656408,3580909181561249,3580960605916473,3580960613587678,3580909189426033
30,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,50,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,18928,2105448,3580909189528412,3580960613689438,3580960613695198,3580909189612331
31,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,51,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,12118,1384376,3580909189614481,3580960613726878,3580960613732798,3580909189700030
32,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,53,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4167812,466657968,3580909189738250,3580960613755838,3580960621427363,3580909197585954
33,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,55,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,18874,2140712,3580909197696823,3580960621522724,3580960621528644,3580909197779072
34,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,56,3451067,3451067,13312,256,0,0,8,0,16,64,0x0,0x7f49601fcf00,624,12318,1361568,3580909197781411,3580960621584004,3580960621590084,3580909197863221
35,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,58,3451067,3451067,102400000,1024,0,0,60,4,16,64,0x0,0x7f49601fcf40,4800000,4140778,463265832,3580909197899490,3580960621649444,3580960629139689,3580909205529647
