Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,0,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,14539,14539,11816,116320,208,240463,38529,0,967712,3580945604745762,3580960532376760,3580960532380440,3580945614190508
1,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,1,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,14421,14421,10809,115376,208,151694,24902,0,612060,3580945614148709,3580960532394840,3580960532397400,3580945614457045
2,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,3,3452575,3452575,102400000,1024,0,0,60,4,16,64,0x0,0x7fcec6ac8f40,14016279,14016279,33205,112130240,1600000,6048076760,111840377,0,24235052776,3580945614295417,3580960532420920,3580960541125246,3580945623444817
3,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,5,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,15846,15846,11867,126776,208,179932,28790,0,725556,3580945623441807,3580960541178046,3580960541180926,3580945623593896
4,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,6,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,18614,18614,14968,148920,208,230640,36594,0,928140,3580945623636495,3580960541252766,3580960541256126,3580945623788943
5,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,8,3452575,3452575,102400000,1024,0,0,60,4,16,64,0x0,0x7fcec6ac8f40,12424468,12424468,28778,99395752,1600000,6072499022,99219086,0,24332697112,3580945623842393,3580960541293566,3580960549040451,3580945631889494
6,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,10,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,20746,20746,17116,165976,208,310551,49679,0,1248072,3580945631911544,3580960549140292,3580960549143652,3580945632138302
7,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,11,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,15927,15927,12254,127424,208,218383,35270,0,878712,3580945632147062,3580960549191972,3580960549195652,3580945632244641
8,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,13,3452575,3452575,102400000,1024,0,0,60,4,16,64,0x0,0x7fcec6ac8f40,12181110,12181110,28786,97448888,1600000,6415010066,97276687,0,25702751784,3580945632288700,3580960549244772,3580960556914217,3580945640068375
9,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,15,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,20113,20113,16601,160912,208,266080,42461,0,1069824,3580945640129064,3580960556971177,3580960556975017,3580945640292063
10,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,16,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,15975,15975,12453,127808,208,238461,38066,0,959456,3580945640299802,3580960557058377,3580960557062697,3580945640400041
11,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,18,3452575,3452575,102400000,1024,0,0,60,4,16,64,0x0,0x7fcec6ac8f40,12228174,12228174,30929,97825400,1600000,6324273220,97656461,0,25339820920,3580945640443911,3580960557109737,3580960564774063,3580945648280985
12,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,20,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,20857,20857,17243,166864,208,280191,44556,0,1126612,3580945648345624,3580960564878703,3580960564883183,3580945648531582
13,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,21,3452575,3452575,13312,256,0,0,8,0,16,64,0x0,0x7fcec6ac8f00,16516,16516,13061,132136,208,273901,43645,0,1100924,3580945648538592,3580960564920463,3580960564924463,3580945648668261
