Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
0,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,0,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960532349351,3580960532376760,3580960532380440,3580960532439110
1,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,1,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960532388020,3580960532394840,3580960532397400,3580960532539449
2,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,3,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960532413710,3580960532420920,3580960541125246,3580960541185036
3,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,5,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960541163506,3580960541178046,3580960541180926,3580960541227596
4,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,6,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960541200476,3580960541252766,3580960541256126,3580960541258676
5,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,8,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960541269805,3580960541293566,3580960549040451,3580960549094252
6,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,10,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960549110901,3580960549140292,3580960549143652,3580960549146251
7,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,11,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960549179191,3580960549191972,3580960549195652,3580960549198211
8,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,13,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960549208020,3580960549244772,3580960556914217,3580960556972348
9,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,15,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960556957968,3580960556971177,3580960556975017,3580960557029027
10,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,16,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960556996787,3580960557058377,3580960557062697,3580960557065167
11,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,18,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960557075956,3580960557109737,3580960564774063,3580960564828744
12,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,20,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960564842164,3580960564878703,3580960564883183,3580960564886143
13,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,21,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960564895663,3580960564920463,3580960564924463,3580960564927232
14,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,23,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960564937702,3580960564969743,3580960573192469,3580960573252064
15,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,25,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960573286453,3580960573302389,3580960573307029,3580960573310053
16,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,26,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960573314743,3580960573345909,3580960573350069,3580960573352443
17,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,28,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960573363653,3580960573389749,3580960581589595,3580960581609684
18,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,30,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960581667624,3580960581681435,3580960581686395,3580960581688764
19,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,31,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960581690004,3580960581715195,3580960581719675,3580960581721913
20,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,33,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960581733273,3580960581752795,3580960590336001,3580960590357021
21,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,35,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960590411770,3580960590425601,3580960590430241,3580960590432990
22,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,36,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960590433940,3580960590468321,3580960590472961,3580960590475390
23,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,38,3453189,3453189,102400000,1024,0,0,60,4,16,64,0x0,0x7fd5b6248f40,3580960590486299,3580960590507983,3580960598047348,3580960598074528
24,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,40,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960598156537,3580960598171988,3580960598177268,3580960598179807
25,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,41,3453189,3453189,13312,256,0,0,8,0,16,64,0x0,0x7fd5b6248f00,3580960598182827,3580960598207988,3580960598212628,3580960598215647
