Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,0,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572134223855,3583596887787611,3583596887791611,3583572143702566
1,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,1,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572143687577,3583596887825371,3583596887827771,3583572143944184
2,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,3,3647688,3647688,102400000,1024,0,0,60,4,16,64,0x0,0x7fda079f8f40,0,0,0,3583572143818605,3583596887947291,3583596896522191,3583572152871590
3,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,5,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572152858561,3583596896590671,3583596896593391,3583572153027329
4,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,6,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572153081599,3583596896666191,3583596896669231,3583572153243237
5,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,8,3647688,3647688,102400000,1024,0,0,60,4,16,64,0x0,0x7fda079f8f40,0,0,0,3583572153273657,3583596896691311,3583596904413569,3583572161200101
6,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,10,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572161235141,3583596904491649,3583596904494529,3583572161389520
7,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,11,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572161399510,3583596904541570,3583596904545250,3583572161560278
8,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,13,3647688,3647688,102400000,1024,0,0,60,4,16,64,0x0,0x7fda079f8f40,0,0,0,3583572161591288,3583596904565730,3583596912234547,3583572169428963
9,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,15,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572169438753,3583596912289748,3583596912292948,3583572169599052
10,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,16,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572169608122,3583596912329428,3583596912333108,3583572169767890
11,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,18,3647688,3647688,102400000,1024,0,0,60,4,16,64,0x0,0x7fda079f8f40,0,0,0,3583572169798570,3583596912368628,3583596920029926,3583572177610636
12,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,20,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572177724975,3583596920121926,3583596920126246,3583572177832764
13,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,21,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572177842214,3583596920161606,3583596920165286,3583572177997012
14,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,23,3647688,3647688,102400000,1024,0,0,60,4,16,64,0x0,0x7fda079f8f40,0,0,0,3583572178029392,3583596920201126,3583596928497625,3583572186455402
15,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,25,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572186592561,3583596928627066,3583596928631386,3583572186707090
16,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,26,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572186714860,3583596928653146,3583596928656986,3583572186879069
17,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,28,3647688,3647688,102400000,1024,0,0,60,4,16,64,0x0,0x7fda079f8f40,0,0,0,3583572186911279,3583596928681466,3583596936925325,3583572195282349
18,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,30,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572195416158,3583596937058765,3583596937063245,3583572195526367
19,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,31,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572195534037,3583596937095726,3583596937099886,3583572195703856
20,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,33,3647688,3647688,102400000,1024,0,0,60,4,16,64,0x0,0x7fda079f8f40,0,0,0,3583572195734885,3583596937122286,3583596945770946,3583572204540053
21,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,35,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572204689191,3583596945869346,3583596945873986,3583572204802220
22,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,36,3647688,3647688,13312,256,0,0,8,0,16,64,0x0,0x7fda079f8f00,0,0,0,3583572204808760,3583596945911906,3583596945916226,3583572204986399
