Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,0,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,778,5134,582389,3583601484996693,3583596887787611,3583596887791611,3583601494637955
1,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,1,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,778,4439,498493,3583601494594715,3583596887825371,3583596887827771,3583601494922642
2,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,3,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,373492787,41830311156,3583601494718424,3583596887947291,3583596896522191,3583601503801320
3,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,5,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,1162,9170,1025449,3583601503777250,3583596896590671,3583596896593391,3583601503930629
4,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,6,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,1162,9517,1059845,3583601503975139,3583596896666191,3583596896669231,3583601504140997
5,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,8,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,359452399,40257762436,3583601504174127,3583596896691311,3583596904413569,3583601512177922
6,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,10,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,1546,13086,1461181,3583601512191712,3583596904491649,3583596904494529,3583601512416990
7,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,11,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,1546,15667,1756069,3583601512424320,3583596904541570,3583596904545250,3583601512552859
8,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,13,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,359062191,40214115624,3583601512550249,3583596904565730,3583596912234547,3583601520473354
9,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,15,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,1930,16836,1885234,3583601520498344,3583596912289748,3583596912292948,3583601520661653
10,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,16,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,1930,16996,1900668,3583601520669743,3583596912329428,3583596912333108,3583601520830482
11,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,18,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,358204316,40118153012,3583601520864931,3583596912368628,3583596920029926,3583601528691187
12,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,20,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,2314,22369,2511370,3583601528732477,3583596920121926,3583596920126246,3583601528928236
13,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,21,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,2314,22479,2519772,3583601528936545,3583596920161606,3583596920165286,3583601529065555
14,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,23,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,364776800,40854151876,3583601529065675,3583596920201126,3583596928497625,3583601537584585
15,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,25,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,2698,25405,2838105,3583601537727954,3583596928627066,3583596928631386,3583601537838243
16,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,26,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,2698,26211,2922960,3583601537842513,3583596928653146,3583596928656986,3583601537966452
17,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,28,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,365037466,40883321212,3583601537977512,3583596928681466,3583596936925325,3583601546389634
18,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,30,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,3082,28978,3249569,3583601546568062,3583596937058765,3583596937063245,3583601546679581
19,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,31,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,3082,29107,3266669,3583601546684431,3583596937095726,3583596937099886,3583601546796200
20,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,33,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,364833531,40860534676,3583601546806390,3583596937122286,3583596945770946,3583601555586139
21,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,35,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,3466,32197,3594585,3583601555738627,3583596945869346,3583596945873986,3583601555845257
22,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,36,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,3466,32459,3626409,3583601555849617,3583596945911906,3583596945916226,3583601555962616
23,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,38,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,357956046,40090141692,3583601555975656,3583596945941169,3583596953469192,3583601563715023
24,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,40,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,3850,35281,3957785,3583601563860921,3583596953571272,3583596953576232,3583601563973731
25,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,41,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,3850,36123,4037080,3583601563980441,3583596953598312,3583596953602792,3583601564151349
26,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,43,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,357193026,40004759524,3583601564185559,3583596953622632,3583596961128095,3583601571857467
27,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,45,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,4234,39082,4369993,3583601571997155,3583596961224735,3583596961230015,3583601572104014
28,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,46,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,4234,37924,4260973,3583601572109914,3583596961255456,3583596961259936,3583601572273643
29,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,48,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,358135358,40110124336,3583601572308683,3583596961281056,3583596968936279,3583601580136339
30,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,50,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,4618,42236,4732628,3583601580280838,3583596969047640,3583596969053240,3583601580373277
31,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,51,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,4618,44062,4930878,3583601580375947,3583596969084920,3583596969090200,3583601580479686
32,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,53,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,361239440,40457681568,3583601580501236,3583596969112440,3583596976788464,3583601588325602
33,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,55,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,5002,44474,4979412,3583601588468472,3583596976893584,3583596976899344,3583601588567931
34,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,56,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,5002,47579,5325264,3583601588572211,3583596976923184,3583596976928624,3583601588726569
35,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,58,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,358869623,40192531908,3583601588761829,3583596976949104,3583596984460168,3583601596431837
36,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,60,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,5386,48602,5439142,3583601596589975,3583596984566248,3583596984572168,3583601596690734
37,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,61,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,5386,52956,5926506,3583601596695914,3583596984602408,3583596984608328,3583601596848183
38,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,63,3648925,3648925,102400000,1024,0,0,60,4,16,64,0x0,0x7feea6334f40,38400000,361971535,40540084032,3583601596884583,3583596984630568,3583596992118431,3583601604667570
39,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,65,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,5770,50392,5645433,3583601604813039,3583596992216832,3583596992222592,3583601604914558
40,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,66,3648925,3648925,13312,256,0,0,8,0,16,64,0x0,0x7feea6334f00,5770,54297,6084356,3583601604918628,3583596992249312,3583596992255072,3583601605091396
