Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,0,3655037,3655037,13312,256,0,0,8,0,16,64,0x0,0x7f0a68ce4f00,13511,13511,208,2756,1839,205480,3583755832080205,3583710808074449,3583710808079089,3583755841482709
1,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,1,3655037,3655037,13312,256,0,0,8,0,16,64,0x0,0x7f0a68ce4f00,14766,14766,208,2756,1119,102732,3583755841447499,3583710808092849,3583710808095569,3583755841759156
2,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,3,3655037,3655037,102400000,1024,0,0,60,4,16,64,0x0,0x7f0a68ce4f40,14045008,14045008,1600000,81600000,11688144,1309322432,3583755841583888,3583710808124049,3583710816707604,3583755850777374
3,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,5,3655037,3655037,13312,256,0,0,8,0,16,64,0x0,0x7f0a68ce4f00,18577,18577,208,3908,641,62528,3583755850760754,3583710816760724,3583710816763604,3583755850948802
4,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,6,3655037,3655037,13312,256,0,0,8,0,16,64,0x0,0x7f0a68ce4f00,19196,19196,208,3908,378,62528,3583755850993572,3583710816833844,3583710816837204,3583755851159051
5,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,8,3655037,3655037,102400000,1024,0,0,60,4,16,64,0x0,0x7f0a68ce4f40,12392836,12392836,1600000,81600000,11657612,1305606660,3583755851199500,3583710816870805,3583710824596596,3583755859191337
6,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,10,3655037,3655037,13312,256,0,0,8,0,16,64,0x0,0x7f0a68ce4f00,20521,20521,208,5060,545,80960,3583755859212827,3583710824699317,3583710824702517,3583755859460655
7,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,11,3655037,3655037,13312,256,0,0,8,0,16,64,0x0,0x7f0a68ce4f00,16193,16193,208,5060,746,80960,3583755859469184,3583710824749397,3583710824753237,3583755859598873
8,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2,0,13,3655037,3655037,102400000,1024,0,0,60,4,16,64,0x0,0x7f0a68ce4f40,12260452,12260452,1600000,81600000,11657810,1305606580,3583755859606193,3583710824805877,3583710832476949,3583755867489191
9,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2,0,15,3655037,3655037,13312,256,0,0,8,0,16,64,0x0,0x7f0a68ce4f00,20215,20215,208,6212,922,99392,3583755867520341,3583710832581109,3583710832584629,3583755867689039
