Index,KernelName,gpu-id
0,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
1,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
2,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
3,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
4,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
5,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
6,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
7,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
8,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
9,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
10,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
11,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
12,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
13,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
14,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
15,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
16,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
17,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
18,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
19,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
20,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
21,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
22,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
23,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
24,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
25,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
26,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
27,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
28,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
29,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
30,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
31,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
32,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
33,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
34,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
35,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
36,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
37,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
38,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
39,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
40,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
41,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
42,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
43,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
44,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
45,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
46,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
47,"void sumKernel<24, 1024>(HIP_vector_type<float, 4u>*, HIP_vector_type<float, 4u> const*, int) ",2
48,"initKernel(HIP_vector_type<float, 4u>*, unsigned long) ",2
