,initKernel(double *_ unsigned long),void sumKernel<(int)32_ (int)1024>(double *_ const double *_ int)
derived__avg_thread_executed,"32.0,32.0,32.0,32.0,32.0,32.0,32.0","32.0,32.0,32.0,32.0,32.0,32.0,32.0"
derived__avg_thread_executed_true,"31.0,31.0,31.0,31.0,31.0,31.0,31.0","31.0,31.0,31.0,31.0,31.0,31.0,31.0"
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2,"3648.0,3648.0,3648.0,3648.0,3648.0,3648.0,3648.0","3648.0,3648.0,3648.0,3648.0,3648.0,3648.0,3648.0"
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2,"29184.0,29184.0,29184.0,29184.0,29184.0,29184.0,29184.0","29184.0,29184.0,29184.0,29184.0,29184.0,29184.0,29184.0"
derived__smsp__inst_executed_op_branch_pct,"0.0840381812865497,0.08403740350877192,0.08403629824561404,0.08403776023391812,0.0840359298245614,0.08403667251461988,0.08403702923976608","0.007692,0.007692,0.007692,0.007692,0.007692,0.007692,0.007692"
dram__bytes.sum.peak_sustained,"1.28,1.28,1.28,1.28,1.28,1.28,1.28","1.28,1.28,1.28,1.28,1.28,1.28,1.28"
dram__bytes.sum.per_second,"0.7975846549707603,0.7983782807017543,0.8028029415204678,0.795717269005848,0.7968695263157894,0.8019696023391812,0.7972748538011696","1.0596708837209303,1.0602652209302326,1.0595652209302324,1.0592618720930231,1.0594836511627908,1.0595517209302325,1.0594000000000001"
dram__bytes_read.sum,"8.491228070175439e-06,8.309941520467836e-06,6.263157894736841e-06,1.474269005847953e-05,6.140350877192982e-06,6.8538011695906435e-06,8.976608187134503e-06","13.373310767441861,13.387402616279068,13.373557058139536,13.372921918604652,13.372422720930233,13.372953848837211,13.371831406976746"
dram__bytes_read.sum.pct_of_peak_sustained_elapsed,"0.0023923216374269005,0.004442766081871345,0.0030285555555555556,0.002697046783625731,0.0024661637426900583,0.00243759649122807,0.002664543859649123","51.968795313953486,51.995661383720936,51.969699290697676,51.95625336046511,51.9626071627907,51.96285730232558,51.960763406976746"
dram__bytes_read.sum.per_second,"5.1824561403508775e-05,9.377777777777776e-05,6.233918128654971e-05,5.7456140350877194e-05,5.3783625730994156e-05,5.2175438596491226e-05,5.709356725146199e-05","1.0596156860465116,1.0601877906976744,1.059474139534884,1.0591803953488372,1.059432418604651,1.0594793720930231,1.0593314069767443"
