Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,0,3753320,3753320,134218752,1024,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2097153,13702736,1534615107,4036218701347645,4036219540707695,4036219541435219,4036218720444931
1,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,1,3753320,3753320,134218752,1024,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2097153,14409452,1613855934,4036218719603040,4036219541435219,4036219542159542,4036218721161904
2,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,2,3753320,3753320,134218752,1024,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2097153,13298425,1489373160,4036218719678989,4036219542159542,4036219542891225,4036218721908566
3,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,3,3753320,3753320,134218752,1024,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2097153,14333595,1605330343,4036218719741108,4036219542891225,4036219543622909,4036218722668579
4,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,5,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,8022729,898437636,4036218722675849,4036219543663549,4036219544993316,4036218724244633
5,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,7,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,8017758,897975082,4036218724228133,4036219545016676,4036219546347562,4036218725703498
6,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,8,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,7900984,884899252,4036218724303322,4036219546347562,4036219547677649,4036218727049274
7,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,10,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,8020200,898152477,4036218727058545,4036219547700049,4036219549031096,4036218728574609
8,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,11,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,7892857,883887264,4036218727209223,4036219549031096,4036219550361342,4036218729933745
9,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,13,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,8028254,899084170,4036218729956555,4036219550385022,4036219551716389,4036218731447690
10,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,14,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,7890927,883742586,4036218730081504,4036219551716389,4036219553046476,4036218732805596
11,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,16,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,8026947,899028241,4036218732830416,4036219553069196,4036219554400562,4036218734308521
12,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,17,3753320,3753320,134217888,224,32768,0,8,0,16,64,0x0,0x7fd94ebee940,2396746,7890905,883731054,4036218732942635,4036219554400562,4036219555730649,4036218735666077
