Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,0,3785623,3785623,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1182981,1182981,10219,9463856,2097168,575158919,9364955,0,2360017864,4036528405267590,4036525275453290,4036525276178733,4036528424288321
1,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,1,3785623,3785623,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1182267,1182267,9215,9458144,2097168,567423194,9363440,0,2328882288,4036528423462678,4036525276178733,4036525276903695,4036528425031124
2,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,2,3785623,3785623,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1182707,1182707,9271,9461664,2097168,562257564,9368105,0,2308343812,4036528423544647,4036525276903695,4036525277633939,4036528425779458
3,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,3,3785623,3785623,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1184381,1184381,9166,9475056,2097168,565727780,9382693,0,2322009724,4036528423613947,4036525277633939,4036525278366902,4036528426552131
4,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,5,3785623,3785623,134218112,448,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1306374,1306374,11173,10451000,2097158,380161715,10342182,0,1578168928,4036528426590120,4036525278405622,4036525279166905,4036528427572842
5,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,7,3785623,3785623,134218112,448,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1305236,1305236,11311,10441896,2097158,379855004,10330606,0,1576942864,4036528427585151,4036525279188825,4036525279951229,4036528428557013
6,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,8,3785623,3785623,134218112,448,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1249590,1249590,9330,9996728,2097158,364151868,9902946,0,1513825284,4036528427740960,4036525279951229,4036525280712832,4036528429364906
7,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,10,3785623,3785623,134218112,448,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1305359,1305359,11458,10442880,2097158,379866811,10330443,0,1576974700,4036528429405125,4036525280733952,4036525281495875,4036528430353387
8,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,11,3785623,3785623,134218112,448,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1249172,1249172,9136,9993384,2097158,364282405,9900859,0,1514336096,4036528429538404,4036525281495875,4036525282257159,4036528431164719
9,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,13,3785623,3785623,134218112,448,32768,0,8,0,16,64,0x0,0x7f7104a2e940,1304249,1304249,11341,10434000,2097158,379624912,10322311,0,1576004276,4036528431203399,4036525282278759,4036525283041162,4036528432138721
