Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,0,3723320,3723320,134218752,1024,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947392468328,4035942758498904,4035942759229464,4035947411651051
1,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,1,3723320,3723320,134218752,1024,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947410825129,4035942759229464,4035942759959864,4035947412364744
2,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,2,3723320,3723320,134218752,1024,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947410906558,4035942759959864,4035942760695544,4035947413116837
3,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,3,3723320,3723320,134218752,1024,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947410969177,4035942760695544,4035942761435545,4035947413862989
4,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,5,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947413868169,4035942761474745,4035942765696348,4035947418328706
5,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,7,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947418305446,4035942765716508,4035942769939870,4035947422677713
6,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,8,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947418378435,4035942769939870,4035942774161953,4035947426933222
7,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,10,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947426913682,4035942774184353,4035942778406276,4035947431322749
8,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,11,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947427023051,4035942778406276,4035942782627558,4035947435551308
9,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,13,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947435560358,4035942782663238,4035942786887241,4035947440021034
10,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,14,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947435755716,4035942786887241,4035942791109324,4035947444268503
11,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,16,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947444283993,4035942791130924,4035942795353167,4035947448658130
12,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,17,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947444398791,4035942795353167,4035942799574929,4035947452903959
13,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,19,3723320,3723320,134217792,64,32768,0,8,0,16,64,0x0,0x7f89185d6940,0,0,0,4035947452926179,4035942799597329,4035942803821172,4035947457298876
