Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,0,3721569,3721569,134218752,1024,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388642,5481294,613542560,4035934679312112,4035942758498904,4035942759229464,4035934698386070
1,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,1,3721569,3721569,134218752,1024,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388642,5432248,608367112,4035934697581906,4035942759229464,4035942759959864,4035934699107215
2,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,2,3721569,3721569,134218752,1024,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388642,5413798,606528056,4035934697651036,4035942759959864,4035942760695544,4035934699857169
3,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,3,3721569,3721569,134218752,1024,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388642,5412958,606073160,4035934697708405,4035942760695544,4035942761435545,4035934700608293
4,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,5,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4822154,540289192,4035934700627793,4035942761474745,4035942765696348,4035934705074230
5,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,7,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4870644,545009048,4035934705063190,4035942765716508,4035942769939870,4035934709509287
6,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,8,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4803062,538344136,4035934705213019,4035942769939870,4035942774161953,4035934714086393
7,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,10,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4815814,539203448,4035934713758985,4035942774184353,4035942778406276,4035934718589049
8,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,11,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4804094,538394640,4035934713848915,4035942778406276,4035942782627558,4035934722371181
9,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,13,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4830076,540317376,4035934722384431,4035942782663238,4035942786887241,4035934726795358
10,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,14,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4802328,538354576,4035934722526890,4035942786887241,4035942791109324,4035934731048177
11,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,16,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4812722,539204224,4035934731065407,4035942791130924,4035942795353167,4035934735459354
12,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,17,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4806826,538324800,4035934731196795,4035942795353167,4035942799574929,4035934739710332
13,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,19,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4808608,539119072,4035934739728172,4035942799597329,4035942803821172,4035934744110019
14,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,20,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4808432,538312192,4035934739846621,4035942803821172,4035942808043415,4035934748360598
15,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,22,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4816172,539254480,4035934748382178,4035942808064535,4035942812286617,4035934752757585
16,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,23,3721569,3721569,134217792,64,32768,0,8,0,16,64,0x0,0x7f9eca222940,8388612,4808932,538305584,4035934748495587,4035942812286617,4035942816507900,4035934757018383
