Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,0,3817069,3817069,134218752,1024,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1189331,1189331,2097168,14680116,2107811,236022964,4036827931272275,4036843820509562,4036843821235966,4036827950364493
1,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,1,3817069,3817069,134218752,1024,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1182631,1182631,2097168,14680116,2096612,234971252,4036827949557711,4036843821235966,4036843821963810,4036827951100886
2,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,2,3817069,3817069,134218752,1024,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1182294,1182294,2097168,14680116,2097023,234971408,4036827949640470,4036843821963810,4036843822694854,4036827951857050
3,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,3,3817069,3817069,134218752,1024,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1189362,1189362,2097168,14680116,2098059,234972804,4036827949708439,4036843822694854,4036843823433099,4036827952625423
4,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,5,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1216419,1216419,2197019,15379125,2197680,246079852,4036827952650153,4036843823472779,4036843824174703,4036827953580524
5,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,7,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1217510,1217510,2197019,15379125,2196551,246079664,4036827953591874,4036843824198063,4036843824910548,4036827954499716
6,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,8,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1145454,1145454,2197019,15379125,2196904,246082912,4036827953729113,4036843824910548,4036843825621912,4036827955231120
7,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,10,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1210622,1210622,2197019,15379125,2196367,246080740,4036827955262369,4036843825644792,4036843826344476,4036827956157661
8,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,11,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1152417,1152417,2197019,15379125,2197705,246095776,4036827955384348,4036843826344476,4036843827043841,4036827956887594
9,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,13,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1212845,1212845,2197019,15379125,2196284,246080444,4036827956916904,4036843827066081,4036843827766725,4036827957814096
10,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,14,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1151909,1151909,2197019,15379125,2197238,246094132,4036827957048263,4036843827766725,4036843828466570,4036827958555670
11,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,16,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1216864,1216864,2197019,15379125,2198116,246082368,4036827958585049,4036843828505930,4036843829205774,4036827959476771
12,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,17,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1145690,1145690,2197019,15379125,2197023,246084064,4036827958709228,4036843829205774,4036843829904178,4036827960222735
13,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,19,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1211899,1211899,2197019,15379125,2196509,246080496,4036827960246384,4036843829937619,4036843830637303,4036827961149816
14,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,20,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1146362,1146362,2197019,15379125,2196215,246088872,4036827960386533,4036843830637303,4036843831336187,4036827961887290
15,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,22,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1216732,1216732,2197019,15379125,2197911,246084120,4036827961919389,4036843831368027,4036843832067712,4036827962823351
16,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,23,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1146125,1146125,2197019,15379125,2197778,246084520,4036827962057698,4036843832067712,4036843832766276,4036827963565414
17,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,25,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1238312,1238312,2197019,15379125,2197610,246100720,4036827963590344,4036843832798756,4036843833501640,4036827964502196
18,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,26,3817069,3817069,134217888,672,32768,0,8,0,16,64,0x0,0x7fab63cf2940,1140847,1140847,2197019,15379125,2198451,246081980,4036827963712353,4036843833501640,4036843834204845,4036827965228590
