Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
0,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,0,3822062,3822062,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874377457903,4036874377494061,4036874378220465,4036874378302445
1,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,1,3822062,3822062,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874377495733,4036874378220465,4036874378948948,4036874378992919
2,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,2,3822062,3822062,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874377502632,4036874378948948,4036874379682871,4036874379727872
3,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,3,3822062,3822062,134218752,1024,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874377508182,4036874379682871,4036874380422555,4036874380452975
4,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,5,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874380449546,4036874380461915,4036874381154879,4036874381172279
5,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,7,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874381168099,4036874381176799,4036874381868963,4036874381885102
6,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,8,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874381174649,4036874381868963,4036874382564806,4036874382586416
7,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,10,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874382578266,4036874382588966,4036874383277930,4036874383292710
8,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,11,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874382586156,4036874383277930,4036874383967373,4036874383981294
9,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,13,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874383981723,4036874384000333,4036874384694897,4036874384711737
10,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,14,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874383995103,4036874384694897,4036874385396500,4036874385416041
11,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,16,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874385408990,4036874385419381,4036874386120664,4036874386138204
12,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,17,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874385416681,4036874386120664,4036874386819068,4036874386836837
13,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,19,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874386832997,4036874386842588,4036874387533791,4036874387548231
14,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,20,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874386839897,4036874387533791,4036874388220515,4036874388236975
15,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,22,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874388232855,4036874388242435,4036874388948678,4036874388964868
16,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,23,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874388239815,4036874388948678,4036874389653002,4036874389666982
17,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,25,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874389665222,4036874389687242,4036874390381006,4036874390397105
18,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,26,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874389681932,4036874390381006,4036874391074129,4036874391089319
19,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,28,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874391086409,4036874391096529,4036874391790933,4036874391805882
20,"void init_kernel<double>(double*, double const*, double const*, double const*, unsigned long, bool) ",2,0,29,3822062,3822062,134218304,704,32768,0,8,0,16,64,0x0,0x7f7b31fee940,4036874391093599,4036874391790933,4036874392481336,4036874392500256
