,void_init_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_read_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_scale_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d3pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d5pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_triad_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_
wave_size_1,"64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0"
wave_size_2,"64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0"
SQ_ACTIVE_INST_SCA,"26880038.217391305,23725868.86956522,24189680.347826086,23068716.695652176,25186106.43478261,24339164.086956523,23068758.0,23068724.95652174,23068708.43478261,23683482.347826086,23068700.173913043,23068696.04347826,23774518.782608695,25791092.86956522,23068724.95652174,23068716.695652176,29420937.13043478,24534598.913043477,23068745.608695652,24801136.695652176,23897290.173913043,23068708.43478261,23831005.782608695,23068729.086956523,23068704.304347824,23068724.95652174,23976164.13043478,23068696.04347826,42125425.08695652,24071682.086956523,23068696.04347826,23068708.43478261","35232162.0,30372612.0,31087206.0,29360167.0,32622371.0,31317507.0,29360217.0,29360177.0,29360157.0,30307307.0,29360147.0,29360142.0,30447575.0,33554454.0,29360177.0,29360167.0,39146847.0,31618613.0,29360202.0,32029257.0,30636717.0,29360157.0,30534596.0,29360182.0,29360152.0,29360177.0,30758248.0,29360142.0,58720270.0,30905411.0,29360142.0,29360157.0","35232162.0,30372612.0,31087206.0,29360167.0,32622371.0,31317507.0,29360217.0,29360177.0,29360157.0,30307307.0,29360147.0,29360142.0,30447575.0,33554454.0,29360177.0,29360167.0,39146847.0,31618613.0,29360202.0,32029257.0,30636717.0,29360157.0,30534596.0,29360182.0,29360152.0,29360177.0,30758248.0,29360142.0,58720270.0,30905411.0,29360142.0,29360157.0","37748745.0,32542116.0,33307726.0,31457335.0,34952543.0,33554485.0,31457415.0,31457351.0,31457319.0,32472149.0,31457303.0,31457295.0,32622415.0,35951206.0,31457351.0,31457335.0,41943053.0,33877088.0,31457391.0,34317069.0,32825083.0,31457319.0,32715665.0,31457359.0,31457311.0,31457351.0,32955271.0,31457295.0,62914575.0,33112943.0,31457295.0,31457319.0","42781902.0,36881052.0,37748754.0,35651632.0,39612881.0,38028402.0,35651712.0,35651648.0,35651616.0,36801746.0,35651600.0,35651592.0,36972056.0,40744689.0,35651648.0,35651632.0,47535459.0,38394023.0,35651688.0,38892666.0,37201749.0,35651616.0,37077734.0,35651656.0,35651608.0,35651648.0,37349296.0,35651592.0,71303176.0,37527992.0,35651592.0,35651616.0","35232162.0,30372612.0,31087206.0,29360167.0,32622371.0,31317507.0,29360217.0,29360177.0,29360157.0,30307307.0,29360147.0,29360142.0,30447575.0,33554454.0,29360177.0,29360167.0,39146847.0,31618613.0,29360202.0,32029257.0,30636717.0,29360157.0,30534596.0,29360182.0,29360152.0,29360177.0,30758248.0,29360142.0,58720270.0,30905411.0,29360142.0,29360157.0"
SQ_ACTIVE_INST_MISC,"9774559.826086957,8627590.956521738,8796248.173913043,8388625.47826087,9158584.782608695,8850606.347826088,8388642.0,8388628.782608695,8388622.173913043,8612177.826086957,8388618.869565217,8388617.217391305,8645280.782608695,9378580.0,8388628.782608695,8388625.47826087,10698523.217391305,8921672.956521738,8388637.043478262,9018596.086956521,8689925.826086957,8388622.173913043,8665822.260869564,8388630.43478261,8388620.52173913,8388628.782608695,8718605.913043479,8388617.217391305,15318336.869565217,8753339.56521739,8388617.217391305,8388622.173913043","10066332.0,8677896.0,8882060.0,8388622.0,9320678.0,8947862.0,8388642.0,8388626.0,8388618.0,8659238.0,8388614.0,8388612.0,8699310.0,9586988.0,8388626.0,8388622.0,11184814.0,9033890.0,8388636.0,9151218.0,8753354.0,8388618.0,8724176.0,8388628.0,8388616.0,8388626.0,8788072.0,8388612.0,16777220.0,8830118.0,8388612.0,8388618.0","10066332.0,8677896.0,8882060.0,8388622.0,9320678.0,8947862.0,8388642.0,8388626.0,8388618.0,8659238.0,8388614.0,8388612.0,8699310.0,9586988.0,8388626.0,8388622.0,11184814.0,9033890.0,8388636.0,9151218.0,8753354.0,8388618.0,8724176.0,8388628.0,8388616.0,8388626.0,8788072.0,8388612.0,16777220.0,8830118.0,8388612.0,8388618.0","10066332.0,8677896.0,8882060.0,8388622.0,9320678.0,8947862.0,8388642.0,8388626.0,8388618.0,8659238.0,8388614.0,8388612.0,8699310.0,9586988.0,8388626.0,8388622.0,11184814.0,9033890.0,8388636.0,9151218.0,8753354.0,8388618.0,8724176.0,8388628.0,8388616.0,8388626.0,8788072.0,8388612.0,16777220.0,8830118.0,8388612.0,8388618.0","10066330.0,8677896.0,8882060.0,8388620.0,9320678.0,8947860.0,8388640.0,8388624.0,8388616.0,8659236.0,8388612.0,8388610.0,8699308.0,9586986.0,8388624.0,8388620.0,11184814.0,9033888.0,8388634.0,9151216.0,8753354.0,8388616.0,8724174.0,8388626.0,8388614.0,8388624.0,8788070.0,8388610.0,16777218.0,8830116.0,8388610.0,8388616.0","10066332.0,8677896.0,8882060.0,8388622.0,9320678.0,8947862.0,8388642.0,8388626.0,8388618.0,8659238.0,8388614.0,8388612.0,8699310.0,9586988.0,8388626.0,8388622.0,11184814.0,9033890.0,8388636.0,9151218.0,8753354.0,8388618.0,8724176.0,8388628.0,8388616.0,8388626.0,8788072.0,8388612.0,16777220.0,8830118.0,8388612.0,8388618.0"
SQ_ACTIVE_INST_FLAT,"2443638.652173913,2156891.4782608696,2199059.913043478,2097153.0,2289644.4782608696,2212648.217391304,2097153.0,2097153.0,2097153.0,2153037.782608696,2097153.0,2097153.0,2161316.8260869565,2344642.8695652173,2097153.0,2097153.0,2674629.086956522,2230416.5217391304,2097153.0,2254646.4782608696,2172475.6086956523,2097153.0,2166450.1304347827,2097153.0,2097153.0,2097153.0,2179649.347826087,2097153.0,3829582.913043478,2188333.1739130435,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0","12582910.0,10847340.0,11102570.0,10485760.0,11650845.0,11184810.0,10485760.0,10485760.0,10485760.0,10824010.0,10485760.0,10485760.0,10874120.0,11983725.0,10485760.0,10485760.0,13981015.0,11292355.0,10485760.0,11439010.0,10941665.0,10485760.0,10905190.0,10485760.0,10485760.0,10485760.0,10985080.0,10485760.0,20971520.0,11037640.0,10485760.0,10485760.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0"
SQ_INST_CYCLES_VMEM_WR,"2443638.652173913,2156891.4782608696,2199059.913043478,2097153.0,2289644.4782608696,2212648.217391304,2097153.0,2097153.0,2097153.0,2153037.782608696,2097153.0,2097153.0,2161316.8260869565,2344642.8695652173,2097153.0,2097153.0,2674629.086956522,2230416.5217391304,2097153.0,2254646.4782608696,2172475.6086956523,2097153.0,2166450.1304347827,2097153.0,2097153.0,2097153.0,2179649.347826087,2097153.0,3829582.913043478,2188333.1739130435,2097153.0,2097153.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","2516582.0,2169468.0,2220514.0,2097152.0,2330169.0,2236962.0,2097152.0,2097152.0,2097152.0,2164802.0,2097152.0,2097152.0,2174824.0,2396745.0,2097152.0,2097152.0,2796203.0,2258471.0,2097152.0,2287802.0,2188333.0,2097152.0,2181038.0,2097152.0,2097152.0,2097152.0,2197016.0,2097152.0,4194304.0,2207528.0,2097152.0,2097152.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0"
SQ_INST_CYCLES_VMEM_RD,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0","10066328.0,8677872.0,8882056.0,8388608.0,9320676.0,8947848.0,8388608.0,8388608.0,8388608.0,8659208.0,8388608.0,8388608.0,8699296.0,9586980.0,8388608.0,8388608.0,11184812.0,9033884.0,8388608.0,9151208.0,8753332.0,8388608.0,8724152.0,8388608.0,8388608.0,8388608.0,8788064.0,8388608.0,16777216.0,8830112.0,8388608.0,8388608.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0"
SQ_INST_CYCLES_SMEM,"9774559.826086957,8627590.956521738,8796248.173913043,8388625.47826087,9158584.782608695,8850606.347826088,8388642.0,8388628.782608695,8388622.173913043,8612177.826086957,8388618.869565217,8388617.217391305,8645280.782608695,9378580.0,8388628.782608695,8388625.47826087,10698523.217391305,8921672.956521738,8388637.043478262,9018596.086956521,8689925.826086957,8388622.173913043,8665822.260869564,8388630.43478261,8388620.52173913,8388628.782608695,8718605.913043479,8388617.217391305,15318336.869565217,8753339.56521739,8388617.217391305,8388622.173913043","10066332.0,8677896.0,8882060.0,8388622.0,9320678.0,8947862.0,8388642.0,8388626.0,8388618.0,8659238.0,8388614.0,8388612.0,8699310.0,9586988.0,8388626.0,8388622.0,11184814.0,9033890.0,8388636.0,9151218.0,8753354.0,8388618.0,8724176.0,8388628.0,8388616.0,8388626.0,8788072.0,8388612.0,16777220.0,8830118.0,8388612.0,8388618.0","12582915.0,10847364.0,11102574.0,10485775.0,11650847.0,11184825.0,10485795.0,10485779.0,10485771.0,10824041.0,10485767.0,10485765.0,10874135.0,11983734.0,10485779.0,10485775.0,13981017.0,11292362.0,10485789.0,11439021.0,10941687.0,10485771.0,10905215.0,10485781.0,10485769.0,10485779.0,10985089.0,10485765.0,20971525.0,11037647.0,10485765.0,10485771.0","12582915.0,10847364.0,11102574.0,10485775.0,11650847.0,11184825.0,10485795.0,10485779.0,10485771.0,10824041.0,10485767.0,10485765.0,10874135.0,11983734.0,10485779.0,10485775.0,13981017.0,11292362.0,10485789.0,11439021.0,10941687.0,10485771.0,10905215.0,10485781.0,10485769.0,10485779.0,10985089.0,10485765.0,20971525.0,11037647.0,10485765.0,10485771.0","12582912.0,10847364.0,11102574.0,10485772.0,11650847.0,11184822.0,10485792.0,10485776.0,10485768.0,10824038.0,10485764.0,10485762.0,10874132.0,11983731.0,10485776.0,10485772.0,13981017.0,11292359.0,10485786.0,11439018.0,10941687.0,10485768.0,10905212.0,10485778.0,10485766.0,10485776.0,10985086.0,10485762.0,20971522.0,11037644.0,10485762.0,10485768.0","12582915.0,10847364.0,11102574.0,10485775.0,11650847.0,11184825.0,10485795.0,10485779.0,10485771.0,10824041.0,10485767.0,10485765.0,10874135.0,11983734.0,10485779.0,10485775.0,13981017.0,11292362.0,10485789.0,11439021.0,10941687.0,10485771.0,10905215.0,10485781.0,10485769.0,10485779.0,10985089.0,10485765.0,20971525.0,11037647.0,10485765.0,10485771.0"
SQ_INST_CYCLES_SALU,"17105478.391304348,15098277.913043479,15393432.173913043,14680091.217391305,16027521.652173912,15488557.739130436,14680116.0,14680096.173913043,14680086.260869564,15071304.52173913,14680081.304347826,14680078.826086957,15129238.0,16412512.869565217,14680096.173913043,14680091.217391305,18722413.913043477,15612925.956521738,14680108.56521739,15782540.608695652,15207364.347826088,14680086.260869564,15165183.52173913,14680098.652173912,14680083.782608695,14680096.173913043,15257558.217391305,14680078.826086957,26807088.217391305,15318342.52173913,14680078.826086957,14680086.260869564","25165830.0,21694716.0,22205146.0,20971545.0,23301693.0,22369645.0,20971575.0,20971551.0,20971539.0,21648069.0,20971533.0,20971530.0,21748265.0,23967466.0,20971551.0,20971545.0,27962033.0,22584723.0,20971566.0,22878039.0,21883363.0,20971539.0,21810420.0,20971554.0,20971536.0,20971551.0,21970176.0,20971530.0,41943050.0,22075293.0,20971530.0,20971539.0","22649247.0,19525248.0,19984632.0,18874392.0,20971524.0,20132682.0,18874422.0,18874398.0,18874386.0,19483266.0,18874380.0,18874377.0,19573440.0,21570720.0,18874398.0,18874392.0,25165830.0,20326251.0,18874413.0,20590236.0,19695030.0,18874386.0,19629381.0,18874401.0,18874383.0,18874398.0,19773159.0,18874377.0,37748745.0,19867764.0,18874377.0,18874386.0","25165830.0,21694752.0,22205152.0,20971560.0,23301696.0,22369660.0,20971620.0,20971572.0,20971548.0,21648108.0,20971536.0,20971530.0,21748280.0,23967472.0,20971572.0,20971560.0,27962036.0,22584726.0,20971602.0,22878048.0,21883396.0,20971548.0,21810450.0,20971578.0,20971542.0,20971572.0,21970182.0,20971530.0,41943050.0,22075296.0,20971530.0,20971548.0","30198990.0,26033688.0,26646180.0,25165860.0,27962034.0,26843580.0,25165920.0,25165872.0,25165848.0,25977708.0,25165836.0,25165830.0,26097924.0,28760958.0,25165872.0,25165860.0,33554442.0,27101664.0,25165902.0,27453648.0,26260062.0,25165848.0,26172522.0,25165878.0,25165842.0,25165872.0,26364210.0,25165830.0,50331654.0,26490348.0,25165830.0,25165848.0","22649247.0,19525248.0,19984632.0,18874392.0,20971524.0,20132682.0,18874422.0,18874398.0,18874386.0,19483266.0,18874380.0,18874377.0,19573440.0,21570720.0,18874398.0,18874392.0,25165830.0,20326251.0,18874413.0,20590236.0,19695030.0,18874386.0,19629381.0,18874401.0,18874383.0,18874398.0,19773159.0,18874377.0,37748745.0,19867764.0,18874377.0,18874386.0"
TCP_TCP_LATENCY_sum,"776675400.3043479,949467572.0869565,776031409.0434783,719520510.5217391,742031663.5217391,752305300.0,1095516907.6086957,827265168.0,884800290.5217391,1007227876.9130435,690497922.6086956,689206142.9565217,907723440.3043479,757625504.4347826,980997017.0869565,971932235.3043479,829666478.6086956,741858579.0869565,1076987095.347826,734670056.1304348,855121118.9565217,689479119.2173913,864561538.8695652,867297549.2173913,695035345.7826087,782995743.9565217,814050675.173913,769638103.1304348,1042745308.4782609,792580867.4347826,678963212.173913,706297795.5652174","1177402347.368421,1742382275.9473684,1289507105.6842105,1132213634.8947368,1196032568.0,1218404281.1052632,1970878779.631579,1249664124.4210527,1527503429.1052632,1927300869.8947368,970223515.6315789,992924812.4210526,1748051327.3157895,1180359201.7894738,1610259360.4736843,1782831732.3157895,1261491898.5263157,1219231864.7368422,1806326065.8947368,1218456212.2631578,1529222080.0,1093532703.2105262,1645694559.6842105,1416784784.6842105,1093709271.7894738,1257236746.0526316,1342210991.1578948,1175861659.1052632,1824745154.1578948,1281005681.1052632,906158366.2631578,1126331565.8421052","2288721867.867647,5616652532.705883,3354778495.2647057,2685654940.8088236,2415970735.1029415,3017177305.205882,5780738617.676471,3123815411.794118,4698200873.367647,5885947799.279411,1788474638.1764708,1928971756.0441177,5440285141.632353,2281436310.2647057,4752895232.441176,5159805466.441176,2311930826.5735292,2797667423.544118,5510361668.426471,2611067515.867647,4679367888.926471,2007185774.3235292,4738017771.808824,4289727646.1764708,2224782059.867647,3617881014.044118,3941679646.1470585,3240268369.544118,3008774541.25,3551706822.9264708,1600884556.235294,2417309856.3382354","4016326247.0526314,7597324635.842105,5775392850.526316,4965906325.842105,4354561157.894737,5433427646.210526,7254126827.473684,5730737240.052631,7003829880.105263,7514389244.157895,3106395566.736842,3399998909.368421,7540312809.842105,4091512509.8421054,6579968972.947369,6847522571.315789,4032505013.5263157,5096575809.684211,6978868517.368421,4864197258.473684,6986882037.789474,3657234809.5789475,6747391135.0,6637485343.263158,4049628318.4736843,6072380167.894737,6081098953.894737,5411547824.052631,5137658233.210526,5778494237.368421,2780285248.105263,4264461912.631579","7456939134.947369,9565776186.0,8092943060.789474,7804151592.578947,7711369503.421053,8168125356.684211,9433728482.157894,8066825898.368421,9072421533.736841,9503459379.842106,5664061245.736842,6366093700.368421,9450453231.631578,7550899947.947369,8478932965.0,8726596828.526316,7349628267.368421,8127492946.684211,8992674702.473684,8012627429.684211,9176105733.842106,6656432724.842105,8645700421.31579,8734081348.526316,7135496324.631579,8298133345.105263,8455105629.894737,7835835780.368421,9264115033.842106,8220155657.526316,5009148623.631579,7253420813.421053","3998005045.8421054,10987834081.526316,8151800234.368421,7288404449.473684,5021941476.210526,7851243160.578947,10294928373.105263,8219373119.473684,10674534466.947369,10782360834.947369,3078158012.263158,3491998895.2105265,11498470892.68421,4318065647.789474,10235661085.578947,10466173928.052631,4070108711.0526314,7092829399.894737,10280453535.263159,6161374775.736842,10730124241.736841,4026652131.4736843,10458155259.894737,10129018350.894737,4867398593.315789,9189249973.789474,9207999827.052631,8071469216.894737,5211719979.894737,8605749455.0,2709274945.631579,5527250472.789474"
