Unnamed: 0,initKernel(HIP_vector_type<float__4u>*__unsigned_long)_,void_sumKernel<24__1024>(HIP_vector_type<float__4u>*__HIP_vector_type<float__4u>_const*__int)_
Unnamed: 0,"128.0,128.0,128.0,128.0,128.0,128.0","129.5,129.5,129.5,129.5,129.5,129.5"
gpu-id,"2.0,2.0,2.0,2.0,2.0,2.0","2.0,2.0,2.0,2.0,2.0,2.0"
arch_vgpr,"8.0,8.0,8.0,8.0,8.0,8.0","60.0,60.0,60.0,60.0,60.0,60.0"
accum_vgpr,"0.0,0.0,0.0,0.0,0.0,0.0","4.0,4.0,4.0,4.0,4.0,4.0"
wave_size,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
runtime,"371633.5813953488,372899.2034883721,369277.9011627907,371108.70930232556,371347.2965116279,372183.25581395347","26256093.802325584,25850902.860465117,26390859.43023256,25541989.3372093,26689252.546511628,28850540.30232558"
SQ_ACTIVE_INST_SCA,"941227.9069767442,941247.9069767442,941239.9069767442,941251.9069767442,941235.9069767442,941231.9069767442","49600000.0,49600000.0,49600000.0,49600256.46511628,49600000.0,49600000.0"
SQ_ACTIVE_INST_MISC,"469989.9534883721,469999.9534883721,469995.9534883721,470001.9534883721,469993.9534883721,469991.9534883721","4800000.0,4800000.0,4800000.0,4800050.372093024,4800000.0,4800000.0"
SQ_ACTIVE_INST_FLAT,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400000.0,38400000.0,38400000.0,38400000.0,38400000.0,38400000.0"
SQ_INST_CYCLES_VMEM_WR,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","0.0,0.0,0.0,83.34883720930233,0.0,0.0"
SQ_INST_CYCLES_VMEM_RD,"0.0,0.0,0.0,0.0,0.0,0.0","38400000.0,38400000.0,38400000.0,38400083.34883721,38400000.0,38400000.0"
SQ_INST_CYCLES_SMEM,"624.0,624.0,624.0,624.0,624.0,624.0","4800000.0,4800000.0,4800000.0,4800020.186046511,4800000.0,4800000.0"
SQ_INST_CYCLES_SALU,"940603.9069767442,940623.9069767442,940615.9069767442,940627.9069767442,940611.9069767442,940607.9069767442","44800000.0,44800000.0,44800000.0,44800236.27906977,44800000.0,44800000.0"
TCP_TCP_LATENCY_sum,"443896953.2267442,439135286.84302324,442206521.05813956,442273119.6802326,443245521.40697676,444540832.4127907","70329403763.2093,70529927134.2907,71459819392.60464,71792384086.15117,70682493879.55814,71159652621.91861"
TCP_TCC_READ_REQ_LATENCY_sum,"0.0,0.0,0.0,0.0,0.0,0.0","479032156506.8954,475142934481.4303,479755418072.18604,480351838905.94183,480400029042.74414,479878883188.2907"
TCP_TCC_WRITE_REQ_LATENCY_sum,"2783888880.4651165,2762449238.3430233,2774608628.30814,2775759816.30814,2781125273.395349,2786319583.988372","0.0,0.0,0.0,40470.74418604651,0.0,0.0"
TCP_TCC_READ_REQ_sum,"0.0,0.0,0.0,0.0,0.0,0.0","614400000.0,614400000.0,614400000.0,614400166.6976744,614400000.0,614400000.0"
TA_DATA_STALLED_BY_TC_CYCLES_sum,"23013746.354651164,22719306.56976744,22966927.837209303,22962885.88372093,22974492.005813953,23081039.505813953","0.0,0.0,0.0,407.2325581395349,0.0,0.0"
CPC_ME1_DC0_SPI_BUSY,"560.5755813953488,560.546511627907,560.6162790697674,560.5116279069767,560.4767441860465,560.4709302325582","38937776.08139535,39153771.04651163,39598653.20930233,39813259.29069767,39113504.41860466,39394419.255813956"
TCC_EA_WRREQ_DRAM_CREDIT_STALL_sum,"1498016.1046511629,1495935.6220930233,1468621.9709302324,1480221.238372093,1533874.430232558,1486083.023255814","0.0,0.0,0.0,0.0,0.0,0.0"
wave_size_1,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_VALU_ADD_F32,"0.0,0.0,0.0,0.0,0.0,0.0","76800000.0,76800000.0,76800000.0,76800000.0,76800000.0,76800000.0"
SQ_INSTS_VALU_MUL_F32,"0.0,0.0,0.0,0.0,0.0,0.0","4800000.0,4800000.0,4800000.0,4800000.0,4800000.0,4800000.0"
SQ_INSTS_VALU_TRANS_F32,"0.0,0.0,0.0,0.0,0.0,0.0","1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0"
TCP_VOLATILE_sum,"30052733.023255814,30053539.720930234,30053117.023255814,30053810.604651164,30052989.023255814,30052861.023255814","2457600881.116279,2457600595.348837,2457600000.0,2457602905.3023257,2457600000.0,2457601881.3023252"
TCP_TOTAL_ACCESSES_sum,"30052733.023255814,30053539.720930234,30053117.023255814,30053810.604651164,30052989.023255814,30052861.023255814","2457600881.116279,2457600595.348837,2457600000.0,2457602905.3023257,2457600000.0,2457601881.3023252"
TCP_TOTAL_READ_sum,"0.0,83.34883720930233,0.0,154.7906976744186,0.0,0.0","2457600440.55814,2457600297.6744184,2457600000.0,2457601452.651163,2457600000.0,2457600940.651163"
TCP_TOTAL_WRITE_sum,"30052733.023255814,30053456.372093026,30053117.023255814,30053655.81395349,30052989.023255814,30052861.023255814","440.5581395348837,297.6744186046512,0.0,1452.6511627906978,0.0,940.6511627906976"
TD_STORE_WAVEFRONT_sum,"469573.9534883721,469589.1627906977,469579.9534883721,469595.6279069768,469577.9534883721,469575.9534883721","27.53488372093023,18.6046511627907,0.0,90.79069767441861,0.0,58.7906976744186"
SPI_RA_REQ_NO_ALLOC,"12.0,12.0,12.0,12.0,12.0,12.0","69674707.54651162,70035877.18604651,69408415.39534883,68854426.08139536,69865996.88372093,70259121.19767442"
SPI_RA_REQ_NO_ALLOC_CSN,"220.0,220.65116279069767,220.0,221.2093023255814,220.0,220.0","47031510.60465116,47880800.04651162,46975477.593023255,46619087.04651162,47723680.43023256,47992389.91860465"
CPC_CPC_STAT_STALL,"91655.61046511628,94244.88953488371,93469.6453488372,94848.40697674418,90785.17441860466,92140.98837209302","24615.41860465116,23141.79069767442,32076.372093023256,31086.093023255817,24564.45348837209,30658.197674418603"
